,email_body,subject_line
2108,"Dean Tyson: Attached is the proposal.
Your comments are welcome and appreciated.
I'd be  happy to input any that you might have prior to forwading to Secretary  Summers.
Phil and I will have a list of potential contacts from the business  community to review in the next couple of hours.
If you need anything, don't  hesitate to contact me.
Perhaps you and Phil and I could touch base later  today or this evening to talk about next steps.
Thanks again for your  efforts.
Best,
",Proposal for California
2109,"Tyson has gotten a call-back from the governor's office.
She's going to call  him back shortly to try to sell him on the plan (i.e., private sector to the  rescue) and ensure that he'll come to the party.
She'll call me back as soon  as she talks to him.
Curious--do we have any sense of whether there's much activity within the
",Tyson Update
2110,"Michael Tribolet:  In response to your question, yes, Edison did file in federal district court  in L.A.
The filing asks the judge to force the CPUC to 1) declare that the  rate free is over and 2) raise rates to compensate Edison for its  undercollections.
(Recall that this filing comes on the heels of the court  agreeing to hear Edison's case asserting that the CPUC must let Edison pass  through the power purchase costs to customers.)
The filing is apparently very large.
The lawyers at the CPUC have a copy but  said that it's much too large to make a copy and aren't willing to give it to  us to make a copy for ourselves.
Question to the lawyers:  Do we have contacts in L.A. that can go to the  courthouse and get a copy of the filing for us?
Probably a good idea to have  that filing passed around to this distribution list.
Best,
",Edison's Filing in District Court in L.A.
2111,"Mary Beth: Thanks very much for passing these along to Laura Tyson.
There are two  documents.
One is a word file with a suggested list of business leaders that  we might bring into the discussions.
Please let the Dean know that it's a  first cut and that all comments, suggestions, edits, etc.
to the document are  welcome and appreciated.
The second is a pdf file from Credit Suisse First Boston giving CSFB's  analysis of what's going on in California.
I think it provides further proof  that California is still looking for, and ought to be very receptive to, a  proposal like the one that we're working on.
Could you let me know that you've received this?
Thanks again.
",Materials for Laura Tyson
2112,"Mary Beth: Thanks very much for passing these along to Laura Tyson.
There are two  documents.
One is a word file with a suggested list of business leaders that  we might bring into the discussions.
Please let the Dean know that it's a  first cut and that all comments, suggestions, edits, etc.
to the document are  welcome and appreciated.
The second is a pdf file from Credit Suisse First Boston giving CSFB's  analysis of what's going on in California.
I think it provides further proof  that California is still looking for, and ought to be very receptive to, a  proposal like the one that we're working on.
Could you let me know that you've received this?
Thanks again.
",Materials for Laura Tyson
2113,"in the attempt to delete the millions of emails i've received from Telecom  Reports, i deleted your Western Gov update before reading it.
could you  resend?
your pal, jeff
",Ooops
2114,"Mary Beth:    For what it's worth, I've read this, and if Laura Tyson or Larry Summers sign  it, I have serious concerns about the effect it would have on their ability  to play the role that we envision in moving our proposal forward  (understanding that our odds of success are somewhat meager).
While I don't  disagree with the language, it is strong and therefore very likely to make  the Governor and his staff very uncomfortable.
I would recommend that they  do not sign.
Best,
",Final Version-Manifesto
2115,"Prof. Bajaj.
Our understanding is that we'll need the electronic file you talked about on  Monday in order to do the first (optional) case (re: helpful questions and  spreadsheets).
But we haven't received the file yet.
Could you possibly  forward it to us?
We're leaning strongly toward writing the first case up  and turning it in and are anxious to get started.
Thanks very much.
Best,
",E234 Course Materials
2116,"The speaker introduced a bill that would:  Order the CA PUC to establish a ""rate component"" to permit the utilities to  recover its ""net undercollected amount"" over a period of ten years.
(Sounds  like there may be a haircut in there somewhere.)
Authorize the State Water Dept.
to purchase power on behalf of utilities and  munis.
Order the CA PUC to create a separate rate component to cover the Dept.
's  cost of purchasing the power.
Authorize the Treasurer to issue debt, backed by ratepayers, to cover any  difference between the price the Water Dept.
buys the power for and the price  that can be collected from ratepayers under the rate freeze.
Authorizes the State Director of Finance to ""accept on behalf of the state  any tangible asset of an electrical corporation.""
(Presumably the state is  looking to get something from the IOUs (say, the hydro assets) in exchange  for giving the utility it's ""net undercollected amount.""
The bill is long and haven't yet had a chance to review it in detail.
We're  faxing the bill.
The bill will be controversial and it is unclear who in the Legislature has  bought into it, though the Governor signaled his general support for this  sort of approach in a press conference last night announcing the results of  the power auction.
The Assembly is scheduled to have a hearing on the bill later today.
Will pass on more info as we get it.
Jeff
",New Bill Introduced in CA Legislature
2117,"Joseph:  Please contact these folks and remind them that 1) i'm not a  lobbyist, 2) i'm not registered as a lobbyist, and 3) i don't qualify as a  lobbyist.
thanks a million.
Jeff
",Reminder letter for California filing deadline
2118,"One of the things that came out of the meeting I was at on Saturday with the  UC economists (including Tyson and Yellen) was a ""manifesto"" that they  published today (I'll have the final to distribute soon).
They're having a   press conference in about 10 minutes at Berkeley.
In anticipation, they're  quoted in a story in today's LA Times (that features Greenspan's comments)  and they focus their quotes on the need to raise rates.
Most of these folks  in the group, lamentably, earn their living by consulting for incumbents, but  there message here should be helpful, and there are a few ""right-minded""  economists in the bunch.
(I managed to get Dr. Michaels in the group, who  was a great voice of reason in the debate over what to say in the manifesto.)
It wasn't appropriate for me to play a visible role in the design of the  manifesto, though I attempted to offer some behind the scenes suggestions.
Jeff
",UC Economists (and others) Step Out a Bit in California
2119,"Apologies.
I can't keep track of all the distribution lists.
Please let me  know if you think that this will be helpful in your neck of the woods.
Rick  relayed Summers comments re: Tyson.
Best,
",UC Economists (and others) Step Out a Bit in California
2120,"Greetings Professor.
Regrettably, I'm on travel in New York City today and can't make it to class  this evening.
I don't anticipate having to miss any other classes this  semester.
Regards,
",E234
2121,"I've left messages describing our idea with TURN and the large  cogenerators/marketers/producers, and I've spoken with the Farm Bureau and  the California Manufacturers Association.
The Bureau and CMA agree with our  idea and I've asked them to ""pass the word along"" to other customer groups  and to try to ensure that its an integral part of the negotiations.
I'll be  calling other customer groups and will report back on those conversations.
Best,
",Conversations with Customers on Date Certain for End of Rate Freeze  in Legislation
2122,"PLEASE DO NOT DISTRIBUTE.
I haven't read this yet, so I don't know if it's  good bad or indifferent.
McFadden is one of the Manifesto signers and a  Nobel Laureate.
If folks have comments, please forward them along and I will  get them into the mix.
Thanks a bunch.
Best,
",Statement on Energy Crisis
2123,"Hi: Hope you had a nice weekend.
Sorry I missed you all in Washington.
Rick's  asked me to attend the meeting at the Woodlands tomorrow.
Do we have a list  of attendants/agenda?
No big deal, but would help me in preparing for the  meeting.
I'm assuming that the meeting takes place tomorrow only?
I'm  staying through Wednesday, nonetheless, and have booked a room at the  Lancaster.
But if the meeting's going to continue through Wed, I was  wondering if I should be staying at the Woodlands.
Thanks (as always) for  you help.
Signed, Clueless
",Tomorrow's Meeting at the Woodlands
2124,"Mike, Jeanne: Have you heard anything about any relief on penalties that the PUC might have  recently granted interruptible customers?
(Recall that Loretta has refused  to allow folks on interruptible to get off those contracts.)
Could you let  me know as soon as you find something out?
Thanks.
Best,
",URGENT!!! I-6 penalty charges
2125,"Karen Denne has asked me to go along to the meetings tomorrow, which I've  agreed to do, but wanted to run it by you two first.
Thoughts?
Best,
",Skilling's meeting with Silicon Valley
2126,"Rick called and asked me to sit in on a meeting on enegy issues that he's  having tomorrow in Houston.
Wants me to bring to the table information on  gas issues, particularly in light of the SoCalGas settlement here in  California.
I'll be leaving at the crack of dawn tomorrow monring and will  be in Houston on Tuesday/Wednesday and back in the office on Thursday.
",Schedule Change for the Week
2127,"Hi Rosalee: Attached is a summary of the proposal that ENA filed today in response to the  RFP for power and gas issued by California's DWR.
Also attached is a copy of  the complete proposal.
Steve Kean asked that I forward it along to you.
Could you please print out a copy and forward it along to Ken Lay prior to  his departure for Washington D.C.?
Thanks very much.
All the best,
",CDWR Summary for Ken Lay
2128,"Told him the proposal is on his fax machine.
He thanked me and said he'd get  back to us.
He was in a meeting.
That was the sum total of the call.
Thanks
",Got a Hold of Freeman
2129,"I am SO excited about going up and about seeing you guys.
We're going to try  (fingers crossed) to leave tomorrow afternoon.
Can you guys bring Annie?
(please?
).
",Dome!
2130,"FYI.
Calger is in active talks with Freeman and DWR lawyers about the offer  letter we submitted on Tuesday.
Freeman's very anxious to do a deal for 200  MWs from the West Desk and then start talking about a deal for power from  Parquet's Pastoria plant.
Credit is of course the issue and Calger's told  them that unless the credit issue is bulletproof it's not going to work.
See  Chris' comments below.
It looks like progress is being made, but the details  will make it or break it.
Any thoughts?
Might make sense to discuss on the  call.
Please forward along to others.
Thanks.
Best,
",CDWR Credit Proposal
2131,"Karen:  Harry's done some more recent work on the numbers we need to fill in,  so he'll fill them in.
Harry:  the numbers we've thrown around over the last  couple of months are:  From 1996 to 1999, peak demand increased by 5,522 megawatts, but only 672  megawatts of new capacity was added.
Meanwhile, electricity is growing over  5% per year.
",SF Op-Ed
2132,"Hey gang: I think that we should do the case.
I'm willing to help draft, and willing  to take a first crack at putting some bullets together about the direction I  think the memo ought to take and distribute that by about 5 PM tomorrow.
Though it would be good for other folks to do same and then we could compare  notes.
Makes sense?
Thoughts?
Suggestions?
Best,
",DuPont
2133,"Hi: Hope you're well.
Based on your note, I faxed my Direct Deposit change to  Renee Kelso a week or so ago and wanted to check with her to see that she'd  received it and that it was in process, but I can't find her name in email.
Any suggestions on how I can check in and see how progress is going?
As  always, thanks a bunch.
Best,
",Direct Deposit Change
2134,"Hi Justin:  As we discussed, this is the most recent version of the proposed ""fix"" to the  Direct Access prohibition included in AB1X that the coalition of customer  groups have been working on.
They intend to give it to Debra Bowen first  thing next week.
Take a look at it and if you have any questions, please let  me know and I can explain the concept and how it is intended to work.
I have  notified the coalition that it would be a good thing to include you on their  distribution list, but I didn't want to do that until I checked with you.
Let  me know if that's something that you would like to do.
Best,
",Proposed Fix for Direct Access Prohibition in AB1X
2135,"Thanks again for your help, advice and Cristina's phone #.
We'll see where  it goes from here.
But I'm shocked.
I called Cristina, and NO answering  machine.
I didn't think that happened anymore.
Any way of leaving her a  message?
Thanks again.
",Cristina
2136,"On the 21st, Tauzin and Barton are holding separate meetings with executives  from the respective stakeholder groups in Southern California to have ""frank""  discussions about California.
Steve Kean will attend for Enron.
At Steve's  meetings will be other gas and electric marketers, and generators.
Linda  Robertson would like to talk with us tomorrow about getting Steve prep-ed for  the meeting.
She'd like to have the call at 3 PM California time.
Her  assistant will be sending details very soon.
Best,
",Call to Discuss Steve Kean's Meeting with Congressmen in California
2137,"Some EES folks just popped into my office and asked me to pop into their  meeting, which starts at noon.
I'm not sure precisely what the meeting's  about, but Mona I noticed you've got it on your weekly schedule.
How do you  want to handle?
I'd be happy to pop in at noon for the meet and greet part,  but likely need to leave in order to work on the draft strategy---Paul wants
",Today's EES Meeting
2138,"Sorry, but could you please print these out for me?
If the ""eei.doc"" is too  long, please just print out the other two.
Thanks a million.
Best,
",contractual language
2139,"OK, the powers that be have phoned.
I am to be there tomorrow and Wed.
Tomorrow I'm huddle at the Woodlands all day.
But Wednesday I'll be in the  office.
Perhaps coffee or lunch?
Could you forward to the lovely Ms Scott,  since every time I type her name in, I get someone from ECT.
Can't wait to  hear more about Herr Cherr-y.
Best,
",I'm Back!
2140,"It's rough, but Paul and I concluded that, since I'll be in Houston, best  that I send out whatever I have by COB today.
I will be working on this more  on the plane on my way to Houston.
Now we have Sandi's, Paul's and this, all  of which I think are headed in the same direction and complement one  another.
We'll need to meld them.
Please look at all 3 at the same time.
Might be useful to begin an email conversation now with folks comments.
I'm  reachable and will be back in the office on Thursday.
Best,
",DRAFTStrategy
2141,"Got your message.
Just as soon as we get out from under the deliverables Lay  needs for Brulte, I'll turn to figuring how to get Delaney hooked up with  decision makers that can make a difference in California.
Is next week too  late for meetings?
Best,
",Delaney's Demand Plan
2142,"Greetings All:  First, I am apologizing in advance for any typos in this email.
Schedule i= s=20 very tight, but I wanted to make sure that everyone had it first thing this= =20 morning, with some back-up info that I've included below.
Attached is the email that was sent to Ken Lay's office yesterday evening f= or=20 delivery to Sen. Brulte.
It's of course confidential.
Few points:  I don't have Bev's email, so if you could please forward to her, that would= =20 be appreciated.
As we discussed (Jim, Mike, Bev, Scott, Hedy) on our lengthy call on=20 Wednesday, I'm assuming that the plan is still to ""wallpaper"" Sacramento wi= th=20 our proposed legislation.
This email does not contain the legislation.
Mike sent the ""final"" version= s=20 of our legislation out yesterday, except for the siting piece, which I=20 believe Brian Cragg of Mike's office is finalizing today.
You'll note that we promise Senator Brulte in the email that we'll deliver = to=20 his office today the proposed legislation.
Again, based on our call on=20 Wednesday, I'm assuming that we would simultaneously release the proposed= =20 legislation to the rest of the world at the same time.
When we spoke on Wednesday, we decided that the Sacramento team would=20 determine to whom we would circulate the proposed legislation at the same= =20 time that we deliver the Senator Brulte.
I'm assuming that you folks will= =20 handle that end of things.
Please let us know at your convenience to whom= =20 you've decided to circulate.
This email does, however, include a ""summary"" of our proposed legislation.
= =20 But I'm not certain that the summary included in this email is the=20 appropriate language to distribute ""to the world,"" or if we'll need instead= =20 to tailor some new language.
I think we all agreed that we need a ""one=20 pager"" to accompany the legislative package so that we can communicate the= =20 package effectively.
We also discussed the need to quickly develop a coalition to support our=20 proposals.
We didn't finalize that plan.
Perhaps the Sacramento team coul= d=20 propose a plan to do that.
Perhaps we could start with our friends in the= =20 Direct Access coalition?
We also talked about the need at this point to engage in PR and to get the = PR=20 machinery activated, also with the goal of effectively communicating our=20 legislative package/message.
We're in a meeting with folks today where we= =20 can discuss getting that side of things going and Karen Denne has contacted= =20 Marathon and they're pondering some things that we can do in the near term.
You'll note that there's a considerable amount of information about the DWR= =20 credit issue.
As I recollect, we discussed the issue in depth on the call.=  =20 You note that attached to the email is a ""legislative fix"" to AB1X that cou= ld=20 solve the credit issue and an attached set of ""taking points"" related to a= =20 second alternative to solving the credit issue:  a PUC order clarifying tha= t=20 DWR will get its money for power purchase costs.
Note also that Steve Kean reminded me that we've got to continue to push to= =20 get the utilities out of the merchant function.
Accordingly, I've put a=20 brief paragraph on that issue in the note to Brulte in the last section=20 (legislative solution) under the topic ""create a real competitive retail=20 market in California.""
To the best of my knowledge, we don't have=20 legislative language on that piece yet, and it seems that we'll need to=20 discuss it in considerably more depth before doing so.
",Ken Lay's email to Sen. Brulte
2143,"FYI.
I told Chris that it looks fine with me.
Seems like a useful tactic,  i.e., maybe if you pay me what you owe for power already delivered, I might  consider doing a deal for power going forward....  Best,
",CDWR Short-Term Firm Energy Proposal
2144,"Chris/Christian:  FYI.
Here's the version that Kean and I sent to Ken Lay's office for=20 transmittal to Brulte.
Ken Lay may have chaged it a bit.
I'll find out an= d=20 let you know, but wanted you to have what we forwarded to him.
Thanks agai= n=20 for all the help.
Best,
",Email for Transmittal from Ken Lay to Senator Brulte
2145,"Linda: I will have the California update done for Steve today.
Maureen, could I  possibly get the fax # where Steve will be staying this evening in the event  that I need to fax it to him directly?
What time will he be leaving for LA?
Thanks.
Best,
",CA Update for Steve for Tomorrow's Meeting in Pasadena
2146,"Joe/Sue:  We'll need to brief Steve on the fed/state issues tied to the state buying  the TX systems of PG&E and Edison prior to his meeting with the Congressional  Republicans tomorrow.
I'll be driving with Steve from  LA to Pasadena (where  the meeting is) tomorrow beginning at about 9:30 AM PST (the meeting's at  10:30 AM PST).
Could we put together a call-in number at 9:45 or 10 AM PST  so you could quickly/briefly brief Steve on the issues prior to the 10:30 AM  meeting?
Let me know if this works, or if there's a better way to get him up  to speed on the issues before the meeting.
Thanks very much for helping to  pull this together on such short notice.
Best,
",What It Takes to State-ize a TX System
2147,"Sue:  The way that I understood what Loretta said, the utilities will not be forced  to absorb the shortfall between the price cap and DWR's cost of power.
Instead, she said that DWR will be responsible for those costs.
(That ought  to make DWR an even less creditworthy entity.)
I'll check in with Mike Day's  folks to make sure that I heard correctly and get more details.
Will report  back just as soon as we get more information.
Best,
",PUC votes on costs tied to DWR purchases
2148,"Davis Signals Utility's Grid Could Be Seized  Power: Governor says eminent domain is a possible last resort against PG&E,  which is balking in state sales negotiations.
By DAN MORAIN and NANCY RIVERA BROOKS, Times Staff Writers  On the eve of a new round of rescue negotiations with a reluctant Pacific Gas  & Electric Co., Gov.
Gray Davis suggested Wednesday that as a last resort the  state could seize the utility's prized electrical transmission system through  eminent domain.
That saber-rattling cut against the grain of some rare good news in the  state's continuing electricity crisis.
The energy supply crunch eased  slightly as grid operators pumped up the cushion between supply and demand,  and for the first time in more than five weeks the statewide power grid was  operating under a relatively mild Stage 1 emergency.
Negotiations with the state's two other big utilities--Southern California
",Davis Signals Utility's Grid Could Be Seized
2149,"Davis' deadlines on energy much easier set than met By Emily Bazar Bee Staff Writer (Published Feb. 23, 2001)  Exactly one week ago, Gov.
Gray Davis sounded hopeful, optimistic even, when  he predicted that the state and its debt-ridden utilities would forge an  agreement by today on a plan to save the companies from financial doom.
Problem is, it won't work out that way.
Negotiations between state officials and the investor-owned utilities have  produced no comprehensive agreement to announce today.
Davis' predictions during the energy crisis have been wrong before.
For weeks, he has set deadlines for agreements and legislative action that  haven't been met.
On deadline days, even when there's little substantive  progress to report, Davis often holds news conferences anyway -- many of them
",Davis' deadlines on energy much easier set than met
2150,"Greetings.
If you have a minute, can you give me a call?
I'd like to get  you up-to-date on what's going on in this crazy electricity industry.
Best,
",Checking In
2151,"Hey, how's things?
Long time not chat.
What's up?
Anywho, you seem like the  right person to respond to this email.
(And I have no idea.)
Best,
",question for you
2152,"Greetings Sally: My name is Jeff Dasovich.
The Greens have been helping me develop 40 acres of land that I bought just north of Anchor Bay (a couple of miles up the hill from Highway One, about 1200 ft or so up) and they suggested that I contact you.
The property is right in the heart of the Banana Belt and my property faces south, is protected, and a such is very hot and sunny from late spring through later summer/early fall.
The property has an abundance of water on it.
Of course, the possibility of evening fog raises some tricky issues, and I haven't done soil tests.
In short, while I think there are some challenges, I'm convinced that there is at least the strong possibility that I could grow grapes--around 10 acres or so.
",Referred to You By the Greens about Possibly Growing Grapes on My  Property
2153,"FYI.
Not sure 1) who the right person is to forward this along to, or 2) if  it's something that folks want to follow up on.
Anyway, here's the  dope---Scott is an Enron outside lobbyist located in Sacramento.
",Sales
2154,"Well, looks like it's that time again.
There only 2 questions.
Howzabout if  the S.F.
contingent takes #1 and the East Bay Gang takes #2 and we distribute  around over the weekend?
Thoughts?
",Next Financial Reporting Case
2155,"Pact With PG&E Eluding Governor  Power: Davis says obstacles include a debt that is double Edison's.
Others  cite an aggressive corporate culture as an impediment to state purchase of  grid.
By DAN MORAIN, NANCY RIVERA BROOKS, Times Staff Writers   ????
?WASHINGTON--As he attempts to finalize a settlement with Southern
",Pact With PG&E Eluding Governor
2156,"Too hot a market: How energy producers manipulate California    (Published Sept. 22, 2000)  The priciest place to shop this August in California was in Pasadena.
There  at the California Power Exchange, where much of the state's electricity is  bought and sold, prices that utilities paid for power (an average $166 per  megawatt) were up fivefold from the previous August ($32).
What is happening?
Among other things, too much power on hot days is being purchased in the  near-panic environment that develops in the hours before a possible crisis.
Too little is being purchased as it should be -- days, or even months, in
",Editorial from Today's Sac Bee
2157,"Sandi:  Apologies.
I meant and forgot to mention on the 11:30 call that the pipeline  group is having their annual customer meeting (VPs of large energy companies  throughout the West and Midwest) at the Santa Barbara Biltmore on April 12th  and 13th.
They would very much like to get Bill Keese to speak (preferably on the  morning of the 13th, but the morning of the 12th would work as well).
They'd  like Bill to discuss the energy situation in California.
They can cover  however much of Bill's costs--if any--that the State of California allows to
",Pipeline Group Trying to Get Bill Keese to Speak at Conference
2158,"Funny thing.
Right after we'd discussed my company's mark to market  accounting in class on Monday, this article showed up on Wednesday.
Thought  you might be interested.
TEXAS JOURNAL --- Energy Traders Cite Gains, But Some Math Is Missing ---- By
",WSJ Article on Enron's Mark to Market Accounting
2159,"Here is the final version.
I'll bring copies with me tomorrow to Sacramento  and can drop them off at Hedy's office.
I meet with Kari Dohn at 10 AM and  will be attending the AB 1890 Implementation Group meeting at 1:30.
I can  drop off copies before I head out for the Dohn meeting.
If there's anything  else, just let me know.
Thanks.
Best,
",Final Hertzberg Piece
2160,"Greetings Justin and Laura: As we discussed there is a significant coalition of folks working at the  Legislature to try to remove the prohibition on Direct Access included in  Hertzberg's AB1X and recently signed by the Governor.
Simply put, it is clear that the prohibition will only be removed if the  business community communicates clearly  and unequivocally and vociferously  to the Legislature that Direct Access is a priority for business, and that  the Legislature must amend AB1X to permit Direct Access.
I've attached the media plan developed by the PR firm that's working with ARM  (Alliance for Retail Markets) to increase the focus on the need to re-instate  Direct Access.
The ARM coalition of energy service providers has been the  focal point of the ever-growing coalition that has developed (and continues  to develop) around the Direct Access issue.
In order to succeed, it is critical to get as many members of the Silicon  Valley Manufactures' Group to join in the effort and participate actively,  particularly in the media effort.
My colleague Sue Mara has been a key player in the ARM coalition and in the  development of the medial effort.
She can provide you with any information  and/or assistance that you need and can also get you in contact with Edelman,  the PR firm directing the media effort.
Sue's number is 415.782.7802.
Her  email is smara@enron.com.
And, as always, you can contact me at any time (415.782.7822).
Looking forward to any participation that you folks can offer.
All the best,
",[Fwd: Direct Access Coalition Media Plan]
2161,"Folks:  Here's a catalogue of issues that Sue, Mona and I put together using Paul's  outline as a guide.
Just a start (but a pretty good one), with lots more to  do, but it should provide a solid platform to get the strategy completed in  short order.
Best,
",Strategy
2162,"Mike (Day): As you know from the work with the DA coalition, UC/CSU is extremely  interested in ensuring that the prohibition on DA included in AB1X gets  ""fixed"" in SB27X.
Of couse we'd ideally like to make sure that the language  providing the ""fix"" makes it crystal clear that customers retain the right  going forward.
There's some concern that the ""fix"" language that's been  floating around thus far needs some tightening to wring out the ambiguities.
In that regard, Mike Smith is going to try to craft some language and forward  it to you.
We'll need to try to get Mike (Smith's) language into the draft  that you're putting together based on last Friday's meeting, preferably  before  you circulate the next draft to the DA coalition.
Mike Smith, I'll  assume that you'll contact Mike Day directly, but Mike (Day), if there's any  questions, don't hesitate to contact me.
Thanks very much.
Best,
",Fixing the Direct Access Prohibition
2163,"FYI.
*********************************************************************** UC Pioneers Conservation  Two decades of innovations prepared campuses for energy price crunch  When the state's energy crisis hit, the University of California was not  caught with its fans running full blast.
Across the nine-campus UC system, $65 million has been spent over two decades  on energy-saving devices, including new lighting, variable speed fans, even a  system to harness waste gas from landfills to run boilers.
So, with Gov.
Gray Davis calling for every California household and business  to cut electricity use by 10 percent, UC offers a good model of conservation.
Despite rapid growth in the 178,000-student system in recent years, most  campuses have held electricity consumption steady, and the university will  net about $75 million in savings from the projects.
""We are fortunate to have on the campuses people with the religion.
They have  been working on this agenda since the oil embargo,"" said Gary Matteson, UC  director of energy and utilities planning.
But UC will need to do more.
Facing a 146 percent increase in the cost of  natural gas -- which powers the co-generators that produce electricity -- the
",UC Pioneers Conservation
2164,"No rush, but thought I'd throw this out there just ot get the ball rolling:  Looks at this point like any of the presentation dates work for me, so I  don't necessarily have a preference.
Options for project (and I'm really just throwing stuff out there to  stimulate thought): Analyze AOL/Time Warner merger My company, Enron, is accused by some analysts of being nothing more than a  Merrill-Lynch, or a Morgan-Stanley, or a Goldman-Sachs, etc.
These analysts  claim that we should therefore trade at multiples that are in line with the  investment houses.
We differ in that view (for a lot of reasons that I won't  go into here).
Might be interesting to analyze strategies, differences, etc.
Anyway, just some thoughts to get the ball rolling.
I'm open to just about  anything.
Best,
",Group Project
2165,"Note size of folks participanting as reflected in email distribution list.
See attachment, which shows ""official"" list of coalition members and bullet  points they're passing along to legislators.
Note UC is on the list.
Mike:  UC's participation in this coalition can be fairly characterized as  ""very active.""
Best,
",[Fwd: Direct Access Coalition fact sheet on SB 27x]
2166,"Sue Mara was correct on the call yesterday.
While the PUC meets regularly on  Thursdays, it appears they are having a meeting today at which the ""Bilas  Alternative"" is up for a vote.
Our information is that there is some  likelihood that the decision will be approved----but please don't hold your
",CPUC Decision to Make DWR Creditworthy and Hold Off on Implementing  DA Prohibition
2167,"The Commission just voted out one half of the ""Bilas Alternate.""
The decision that got voted out included Bilas' DWR-based language stating  that the PUC 1) would not second-guess DWR purchases and 2) would pass  through DWR costs to customers.
However, in a move led by Commissioner Carl Wood, the decision removed the  Bilas language on Direct Access.
The decision therefore did NOT include the  Bilas language staying any Commission action on implementing the Direct  Access prohibition.
Carl Wood called including Direct Access ""the height of  arrogance.""
The decision was voted out 3-2, with the 2 remaining Republicans dissenting.
That said, the Commission has no proposal before it implementing the  prohibition, and there was no talk at the meeting of implementing the  prohibition any time soon.
Best,
",PUC Approves DWR Language in Decision; Removes Language Staying  Commission Action on Direct Access
2168,"Greetings (or Hola!
):  Talked to Jeff Green.
He said he'd do the road, but can't do it with the  wood that's in the driveway.
Eldon, are you and Bob planning to go up this  week?
If so, any chance of getting the wood moved?
Otherwise, going to be  tough to do the road.
Jeff starts on my road on Wednesday and I'll be going  up this weekend to monitor (and start organizing some of the chopped up wood  that's lying around the yard at the dome.
Welcome back.
Hope you had a good time in Mexico.
Best,
",Dome Driveway
2169,"Quick question to Joe and/or Christian, John and Mary:  I'm assuming that any deal we sign with DWR that falls below the $150/MWH  soft cap is free and clear of the order FERC issued on Friday as well as any  other refund risk associated with FERC's December order.
Is that correct?
Thanks.
Best,
",FERC Order and DWR
2170,"Hi Jeannie:  My apologies.
I've been switched over to Windows 2000 and, well, things have  been somewhat bumpy.
I have a few comments on the Frevert piece but can't  find the document you sent.
Could you resend it?
Best,
",Frevert Piece
2171,"Greetings: This was reported on the news this morning.
I'll see if I can retrieve  anything off of our illustrious Governorn's web site.
Any reports of it in  Washington D.C.
Thanks.
Best,
",Davis Asks FERC for Price Caps (Again)---Govs from Oregon and  Washington Sign On
2172,"Given everything that we've got on our plate, and the relative priority of  the affiliate issue, and the fact that ARM and Wild Goose are involved, I  would propose that we take a pass on this one.
Thoughts?
Best,
",Affiliate Relook case [PLEASE RESPOND TODAY]
2173,"Greetings folks:  Great to see you (missed you, Donald) in Houston.
Please= =20 see attached.
This guy's been after me for some time.
I finally spoke wit= h=20 him and told him that I'd pass it along.
I don't know who (if anyone) in E= BS=20 is interested in OSS---I can't recall if it's a component of our=20
",>>> VISIONAEL for OSS <<<
2174,"Hi TJ.
I forgot to request that last week's class be video-ed and I was  wondering if someone else requested a video-taping.
It was for Tasker's  (E221?)
class that meets on Thursdays.
Thanks very much.
Best,
",Class Video
2175,"Greetings:  Sounds like I'm glad that I missed the quiz last week.
Hate to be a nag, but we've got to turn in what we're doing for our project  on Thursday.
I propose doing a nice, clean merger, which would allow us to  do both comparative analysis (who are these companies?)
and merger/valuation  analysis.
Mark and I talked last night and I pleaded again not to do strict  accounting stuff, but if that's what folks would like to do, I can certainly  suck it up.
Any thoughts?
Best,
",More Nagging About the Project
2176,"FYI.
As part of our defense against the UC/CSU suit, I've been asked to  provide a declaration.
The gist of the declaration is that the future of  Direct Access in California is very uncertain.
Best,
",Declaration for UC/CSU Suit
2177,"Greetings Professor:  Our group consists of Jeff Dasovich, Mark Guinney, Anil Sama and Carolyn  Vavrek.
We propose to examine the recently failed acquisition by Coke of Quaker  Oats:  Why merge?
What was the value?
Upside?
Downside?
Why did it go  bust?
Should it have gone through?
What's up with this Buffet guy, anyway?
If you have any concerns with this proposal, please let us know.
Finally, if possible, we'd like to present on Thursday, April 26th.
Best,
",Group Project--E221
2178,"Thanks, Scott.
Scott/Hedy/Sandi/Bev:  Erik Letke heads up the retail marketing effort  underway in San Diego.
Marty Sunde wants Alpert to have an EES commercial  contact that she can talk to in the event she has further questions, etc.,  He'd like Erki to be the contact person.
Erik could you copy your vitals  (title, contact info) to Scott and Hedy Govenar and Sandi McCubbin so they  can forward along to Alpert?
Erik, seems that it would be useful if the customer letters to Alpert could  make the following points (folks please weigh in and add/subtract/modify if  needed):  The customer's glad to have had the option to take Direct Access service from  Enron because having the opportunity to take advantage of the offer has made  the customer better off.
Direct Access is an extremely important option that customers need, want and  should have going forward.
Any ""solution"" that the Legislature comes up with must therefore include the  continuation of Direct Access for all customers.
As such, the Legislature should immediately fix AB 1X to make sure that  Direct Access remains a permanent fixture of California's energy strategy.
Direct Access customers should not be forced to pay for DWR's power purchase  costs, since Direct Access customers aren't benefitting from those purchases.
Best,
",Follow up with Alpert's Office
2179,"Margaret:  Bev Hansen will be giving the gas report to California State Assemblymembers  Keith Richman and John Campbell.
If there's a desire to distribute to anyone  else, we'll check in first.
Thanks very much for your help and thanks for
",CERA Gas Report
